SDG Goal,SDG Target,SDG Indicator,Country or Territory code,Country or Territory Name,SDG Region,SDG Sub-Region,Data Reference Year,Urban population living in slums or informal settlements (thousands),Data Units,Data Source,Footnote
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2000, 692 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2001, 725 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2002, 766 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2003, 804 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2004, 842 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2005, 878 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2006, 911 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2007, 941 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2008, 970 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2009, 986 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2010," 1,001 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2011," 1,016 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2012," 1,031 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2013," 1,047 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2014," 1,062 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2015," 1,078 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2016," 1,093 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2017," 1,093 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2018," 1,110 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2019," 1,133 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2020," 1,167 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2021," 1,152 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,232,Eritrea,Sub-Saharan Africa,Eastern Africa,2022," 1,178 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2000, 0 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2001, 0 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2002, 0 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2003, 0 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2004, 0 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2005, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2006, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2007, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2008, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2009, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2010, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2011, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2012, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2013, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2014, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2015, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2016, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2017, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2018, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2019, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2020, 1 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2021, 3 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,233,Estonia,Northern America and Europe,Northern Europe,2022, 3 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2000," 9,040 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2001," 9,266 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2002," 9,493 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2003," 9,721 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2004," 9,948 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2005," 10,171 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2006," 10,391 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2007," 10,618 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2008," 10,958 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2009," 11,302 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2010," 11,649 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2011," 12,001 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2012," 12,356 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2013," 12,699 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2014," 13,042 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2015," 13,380 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2016," 13,713 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2017," 14,040 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2018," 14,360 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,231,Ethiopia,Sub-Saharan Africa,Eastern Africa,2019," 15,034 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
